Temperature,Forecast,WindSpeed,WindDirection,Precipitation,Pressure,From,To
6,Fair,5.5,309.5,0.0,1003.4,2015-04-28T02:00:00,2015-04-28T08:00:00
6,Cloudy,4.9,298.3,0.0,1006.6,2015-04-28T08:00:00,2015-04-28T14:00:00
10,Cloudy,5.8,320.6,0.0,1009.6,2015-04-28T14:00:00,2015-04-28T20:00:00
9,Cloudy,2.2,314.7,0.0,1011.1,2015-04-28T20:00:00,2015-04-29T02:00:00
6,Partly cloudy,3.1,275.2,0.0,1012.3,2015-04-29T02:00:00,2015-04-29T08:00:00
6,Partly cloudy,3.6,264.8,0.2,1012.9,2015-04-29T08:00:00,2015-04-29T14:00:00
10,Rain showers,4.1,265.8,2.1,1012.9,2015-04-29T14:00:00,2015-04-29T20:00:00
8,Cloudy,1.3,265.4,0.0,1012.3,2015-04-29T20:00:00,2015-04-30T02:00:00
3,Cloudy,3.2,248.9,0.2,1012.0,2015-04-30T02:00:00,2015-04-30T08:00:00
5,Rain showers,1.2,254.2,2.4,1010.5,2015-04-30T08:00:00,2015-04-30T14:00:00
7,Light rain,3.5,152.4,0.9,1010.4,2015-04-30T14:00:00,2015-04-30T20:00:00
8,Cloudy,1.0,182.5,0.0,1010.7,2015-04-30T20:00:00,2015-05-01T02:00:00
5,Cloudy,1.8,249.9,0.0,1011.1,2015-05-01T02:00:00,2015-05-01T08:00:00
6,Cloudy,1.1,32.8,0.0,1010.8,2015-05-01T08:00:00,2015-05-01T14:00:00
9,Cloudy,1.9,39.9,0.0,1010.2,2015-05-01T14:00:00,2015-05-01T20:00:00
8,Cloudy,2.2,328.3,0.0,1009.5,2015-05-01T20:00:00,2015-05-02T02:00:00
6,Cloudy,4.5,303.2,0.0,1009.2,2015-05-02T02:00:00,2015-05-02T08:00:00
6,Cloudy,6.2,307.2,0.0,1008.8,2015-05-02T08:00:00,2015-05-02T14:00:00
9,Cloudy,6.7,313.9,0.0,1009.1,2015-05-02T14:00:00,2015-05-02T20:00:00
8,Cloudy,3.8,285.8,0.0,1008.4,2015-05-02T20:00:00,2015-05-03T02:00:00
5,Partly cloudy,3.3,247.2,0.0,1006.7,2015-05-03T02:00:00,2015-05-03T08:00:00
5,Fair,5.9,260.2,0.4,1003.8,2015-05-03T08:00:00,2015-05-03T14:00:00
9,Clear sky,7.9,270.5,0.0,1004.1,2015-05-03T14:00:00,2015-05-03T20:00:00
8,Partly cloudy,4.6,257.9,0.0,1007.2,2015-05-03T20:00:00,2015-05-04T02:00:00
11,Cloudy,3.1,251.9,0.0,1010.6,2015-04-24T13:00:00,2015-04-24T14:00:00
11,Cloudy,3.2,251.8,0.0,1010.5,2015-04-24T14:00:00,2015-04-24T15:00:00
11,Cloudy,3.1,235.8,0.0,1010.2,2015-04-24T15:00:00,2015-04-24T16:00:00
11,Cloudy,4.0,225.5,0.0,1009.8,2015-04-24T16:00:00,2015-04-24T17:00:00
11,Partly cloudy,3.5,217.9,0.0,1009.5,2015-04-24T17:00:00,2015-04-24T18:00:00
11,Clear sky,2.4,206.6,0.0,1009.2,2015-04-24T18:00:00,2015-04-24T19:00:00
11,Clear sky,2.2,193.1,0.0,1008.7,2015-04-24T19:00:00,2015-04-24T20:00:00
10,Clear sky,2.1,156.2,0.0,1008.4,2015-04-24T20:00:00,2015-04-24T21:00:00
9,Clear sky,2.5,169.8,0.0,1008.2,2015-04-24T21:00:00,2015-04-24T22:00:00
8,Clear sky,2.4,179.9,0.0,1008.1,2015-04-24T22:00:00,2015-04-24T23:00:00
